Lineage;Fam;Taxogroup;Taxo1;Last;SizeMin;SizeMax;Cover;Shape;Spicule;Symmetry;Polarity;Colony;Motility;Chloroplast;Plast_Origin;Ingestion;Symbiontic;Zoosporic_Parasite;Cyst_Spore
Eukaryota;Undetermined_Eukaryota;Undetermined_Eukaryota;Undetermined_Eukaryota;Eukaryota;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Amoebozoa|Amoebozoa_U1|PRS2_lineage|PRS2_lineage_X1|PRS2_lineage_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;PRSlineage;NA;NA;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;NA;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V06_Protosteliids|Protostelium_1|Protostelium_1+mycophagum;Amoebozoa;Amoebozoa;Amoebozoa;Protostelium;20;100;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Saprotrophic;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V08_Flamellids|Flamella_1|Flamella_1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Flamella;17;80;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V08_Flamellids|Flamella_2;Amoebozoa;Amoebozoa;Amoebozoa;Flamella;17;80;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V09_Schizoplasmodiids|Ceratiomyxella|Ceratiomyxella+tahitiensis;Amoebozoa;Amoebozoa;Amoebozoa;Ceratiomyxella;70;185;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Swimmer;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V09_Schizoplasmodiids|Nematostelium|Nematostelium+ovatum;Amoebozoa;Amoebozoa;Amoebozoa;Nematostelium;11;192;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V09_Schizoplasmodiids|Schizoplasmodium|Schizoplasmodium+cavostelioides;Amoebozoa;Amoebozoa;Amoebozoa;Schizoplasmodium;13.5;50;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Saprotrophic;No;0;1
Eukaryota|Amoebozoa|Conosa|Variosea|V18_RT5iin|V18_RT5iin_X2|V18_RT5iin_X2+sp.;Amoebozoa;Amoebozoa;Amoebozoa;V;NA;NA;NA;Amoeboid;0;Asymetrical;Heteropolar;None;NA;0;None;Intern;NA;0;NA
Eukaryota|Amoebozoa|Conosa|Variosea|V22_Amb6341|V22_Amb6341_X1|V22_Amb6341_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;V;NA;NA;NA;Amoeboid;0;Asymetrical;Heteropolar;None;NA;0;None;Intern;NA;0;NA
Eukaryota|Amoebozoa|Lobosa|Centramoebida|Acanthamoebidae|castellanii_lineage|Acanthamoeba_X|Acanthamoeba_X+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Acanthamoeba;25;40;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Discosea|Longamoebia|Dermamoebida|Dermamoebidae|Dermamoebidae_X2|Dermamoebidae_X2+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Dermamoebidae;3;100;Organic;Elongated;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Lobosa_U1|IAFDv98_lineage|IAFDv98_lineage_X1|IAFDv98_lineage_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;IAFDv;6;60;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Lobosa_U2|Lobosa_U2_X1|Lobosa_U2_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Lobosa;6;60;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Pellitida|Pellitidae|Pellita|Pellita+catalonica;Amoebozoa;Amoebozoa;Amoebozoa;Pellita;10;33;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Squamamoeba_lineage|Pessonella|Pessonella+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Pessonella;5;10;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Echinamoebida|Echinamoebidae|Echinamoeba|Echinamoeba+thermarum;Amoebozoa;Amoebozoa;Amoebozoa;Echinamoeba;15;35;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Echinamoebida|Vermamoebidae|Vermamoeba|Vermamoeba+vermiformis;Amoebozoa;Amoebozoa;Amoebozoa;Vermamoeba;15;30;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida;Amoebozoa;Amoebozoa;Amoebozoa;Leptomyxida;5;40;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae;Amoebozoa;Amoebozoa;Amoebozoa;Flabellulidae;5;40;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae|Flabellula|Flabellula+citata;Amoebozoa;Amoebozoa;Amoebozoa;Flabellula;15;47;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae|Flabellulidae_X1|Flabellulidae_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Flabellulidae;3;75;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae|Paraflabellula;Amoebozoa;Amoebozoa;Amoebozoa;Paraflabellula;8;45;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae|Paraflabellula|Paraflabellula+hoguae;Amoebozoa;Amoebozoa;Amoebozoa;Paraflabellula;8;45;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Flabellulidae|Paraflabellula|Paraflabellula+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Paraflabellula;8;45;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Leptomyxida|Rhizamoebidae|Rhizamoeba_1|Rhizamoeba_1+saxonica;Amoebozoa;Amoebozoa;Amoebozoa;Rhizamoeba;30;600;Naked;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Nolandida|Nolandellidae|Nolandella|Nolandella+abertawensis;Amoebozoa;Amoebozoa;Amoebozoa;Nolandella;8.5;19;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Nolandida|Nolandellidae|Nolandella|Nolandella+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Nolandella;8.5;19;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Nolandida|Nolandellidae|Nolandellidae_X1|Nolandellidae_X1+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Nolandellidae;8.5;19;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Nolandida|Nolandellidae|Nolandellidae_X2|Nolandellidae_X2+sp.;Amoebozoa;Amoebozoa;Amoebozoa;Nolandellidae;8.5;19;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Floater;0;None;Intern;No;0;1
Eukaryota|Amoebozoa|Lobosa|Tubulinea|Tubulinida|Hartmannellidae;Amoebozoa;Amoebozoa;Amoebozoa;Hartmannellidae;7.5;19;Organic;Amoeboid;0;Asymetrical;Heteropolar;None;Gliding;0;None;Intern;No;0;1
Eukaryota|Archaeplastida|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Porphyra;Archaeplastids;Rhodophyta;Plant;Porphyra;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Porphyra|Porphyra+linearis;Archaeplastids;Rhodophyta;Plant;Porphyra;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Pyropia|Pyropia+cf+pseudolinearis;Archaeplastids;Rhodophyta;Plant;Pyropia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Pyropia|Pyropia+leucosticta;Archaeplastids;Rhodophyta;Plant;Pyropia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Bangiophyceae|Bangiales|Bangiaceae|Pyropia|Pyropia+sp.;Archaeplastids;Rhodophyta;Plant;Pyropia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Compsopogonophyceae|Erythropeltidales|Erythrocladia|Erythrocladia+sp.;Archaeplastids;Rhodophyta;Plant;Erythrocladia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Compsopogonophyceae|Erythropeltidales|Madagascaria|Madagascaria+erythrocladioides;Archaeplastids;Rhodophyta;Plant;Madagascaria;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae;Archaeplastids;Rhodophyta;Plant;Florideophyceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Acrochaetiales|Acrochaetium|Acrochaetium+secundatum;Archaeplastids;Rhodophyta;Plant;Acrochaetium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ahnfeltiales|Ahnfeltia;Archaeplastids;Rhodophyta;Plant;Ahnfeltia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Bonnemaisoniales|Asparagopsis|Asparagopsis+armata;Archaeplastids;Rhodophyta;Plant;Asparagopsis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Bonnemaisoniales|Bonnemaisonia|Bonnemaisonia+asparagoides;Archaeplastids;Rhodophyta;Plant;Bonnemaisonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Bonnemaisoniales|Bonnemaisonia|Bonnemaisonia+clavata;Archaeplastids;Rhodophyta;Plant;Bonnemaisonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Bonnemaisoniales|Bonnemaisonia|Bonnemaisonia+hamifera;Archaeplastids;Rhodophyta;Plant;Bonnemaisonia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales;Archaeplastids;Rhodophyta;Plant;Ceramiales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae;Archaeplastids;Rhodophyta;Plant;Callithamniaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Aglaothamnion|Aglaothamnion+callophyllidicola;Archaeplastids;Rhodophyta;Plant;Aglaothamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Aglaothamnion|Aglaothamnion+feldmanniae;Archaeplastids;Rhodophyta;Plant;Aglaothamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Aglaothamnion|Aglaothamnion+tenuissimum;Archaeplastids;Rhodophyta;Plant;Aglaothamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Callithamnion|Callithamnion+collabens;Archaeplastids;Rhodophyta;Plant;Callithamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Callithamnion|Callithamnion+pikeanum;Archaeplastids;Rhodophyta;Plant;Callithamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Diapse|Diapse+ptilota;Archaeplastids;Rhodophyta;Plant;Diapse;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Callithamniaceae|Seirospora|Seirospora+interrupta;Archaeplastids;Rhodophyta;Plant;Seirospora;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae;Archaeplastids;Rhodophyta;Plant;Ceramiaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Antithamnion;Archaeplastids;Rhodophyta;Plant;Antithamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Antithamnion|Antithamnion+sparsum;Archaeplastids;Rhodophyta;Plant;Antithamnion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Antithamnionella;Archaeplastids;Rhodophyta;Plant;Antithamnionella;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium;Archaeplastids;Rhodophyta;Plant;Ceramium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|Ceramium+diaphanum;Archaeplastids;Rhodophyta;Plant;Ceramium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|Ceramium+rubrum;Archaeplastids;Rhodophyta;Plant;Ceramium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|Ceramium+sinicola;Archaeplastids;Rhodophyta;Plant;Ceramium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
Eukaryota|Archaeplastida|Rhodophyta|Florideophyceae|Ceramiales|Ceramiaceae|Ceramium|Ceramium+tenerrimum;Archaeplastids;Rhodophyta;Plant;Ceramium;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
