Domain	Supergroup	Division	Class	Order	Family	Genus	Last	Size.min	Size.max	Cover	Shape	Spicule	Symmetry	Polarity	Colony	Motility	Plast	Ingestion.mode	Biotic.interaction	Resting.stage	Suspected.trophism	Source.1	Source.2	Source.3	Source.4	IN.OUT
Eukaryota	Alveolata	Alveolata_X	Alveolata_XX	Alveolata_XXX	Alveolata_XXXX	Alveolata_XXXXX	Alveolata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Apicomplexa_X	Apicomplexa_XX	Apicomplexa_XXX	Apicomplexa_XXXX	Apicomplexa	NA	NA	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	NA	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Cavalier-Smith T., Chao E. E. : Protalveolate phylogeny and systematics and the origins of Sporozoa and dinoflagellates (phylum Myzozoa nom. nov.), European Journal of Protistology, 2004, 40(3), 185-212, doi: 10.1016/j.ejop.2004.01.002"	NA	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Adeleida	Adeleidae	Adelina	Adelina	8.5	45	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Gliding	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Kopečná J., Jirků M., Oborník M., Tokarev Y., Lukeš J., Modrý D. : Phylogenetic Analysis of Coccidian Parasites from Invertebrates: Search for Missing Links, Protist, 2006, 157(2), 173-183, doi: 10.1016/j.protis.2006.02.005"	"Lange C., Wittenstein E. : An Adelina sp. (Apicomplexa: Coccidia) Found in Anurogryllus muticus (De Geer) (Orthoptera: Gryllidae), Journal of Invertebrate Pathology, 2001, 77(1), 83-84, doi: 10.1006/jipa.2000.4999"	"Yaman M., Radek R. : Characteristic Light and Electron Microscopic Features of Adelina melolonthae, a Coccidian Pathogen of the European Cockchafer, Melolontha melolontha (Coleoptera/Scarabaeidae), Acta Parasitologica, 2021, 66(3), 925-931, doi: 10.1007/s11686-021-00363-x"	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	NA	Eimeriidae	5.6	44	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Molnar K. and Fernando C. H. : Some new Eimeria (Protozoa, Coccidia) from freshwater fishes in Ontario, Canada, Can. J. Zool., 1973, 52, 413-419"	"Kvičerová J., Pakandl M., Hypša V. : Phylogenetic relationships among Eimeria spp. (Apicomplexa, Eimeriidae) infecting rabbits: evolutionary significance of biological and morphological features, Parasitology, 2008, 135(4), 443-452, doi: 10.1017/s0031182007004106"	"Alvarez-Pellitero M. P., Gonzalez-Lanza M. C. : Eimeria spp. from cyprinid fish of the Duero basin (north-west Spain), Journal of Fish Diseases, 1986, 9(4), 325-336, doi: 10.1111/j.1365-2761.1986.tb01022.x"	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Amoebogregarina	Amoebogregarina	200	800	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Gliding	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Medina‐Durán J., Mayén‐Estrada R., Mariño‐Pérez R., Song H. : Morphology and Phylogenetic Position of Two New Gregarine Species (Apicomplexa: Eugregarinorida) Parasitizing the Lubber Grasshopper Taeniopoda centurio (Drury, 1770) (Insecta: Orthoptera: Romaleidae) in Mexico, Journal of Eukaryotic Microbiology, 2019, 67(1), 4-17, doi: 10.1111/jeu.12748"	NA	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Leidyana1	Leidyana1	96	332	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Clopton R. E. : Leidyana migrator n. sp. (Apicomplexa: Eugregarinida: Leidyanidae) from the Madagascar Hissing Cockroach, Gromphadorhina portentosa (Insecta: Blattodea), Invertebrate Biology, 1995, 114(4), 271, doi: 10.2307/3226836"	NA	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Ascogregarina	Ascogregarina	61	274	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Levine N. : Three New Species of Ascocystis (Apicomplexa, Lecudinidae) From Mosquitoes*, The Journal of Protozoology, 1980, 27(2), 147-151, doi: 10.1111/j.1550-7408.1980.tb04669.x"	"Roychoudhury S., Isawa H., Hoshino K., Sasaki T., Saito N., Sawabe K., Kobayashi M. : Comparison of the morphology of oocysts and the phylogenetic analysis of four Ascogregarina species (Eugregarinidae: Lecudinidae) as inferred from small subunit ribosomal DNA sequences, Parasitology International, 2007, 56(2), 113-118, doi: 10.1016/j.parint.2006.12.006"	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	NA	Actinocephalidae	NA	NA	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Levine N. : Three New Species of Ascocystis (Apicomplexa, Lecudinidae) From Mosquitoes*, The Journal of Protozoology, 1980, 27(2), 147-151, doi: 10.1111/j.1550-7408.1980.tb04669.x"	"Roychoudhury S., Isawa H., Hoshino K., Sasaki T., Saito N., Sawabe K., Kobayashi M. : Comparison of the morphology of oocysts and the phylogenetic analysis of four Ascogregarina species (Eugregarinidae: Lecudinidae) as inferred from small subunit ribosomal DNA sequences, Parasitology International, 2007, 56(2), 113-118, doi: 10.1016/j.parint.2006.12.006"	NA	NA	Yes
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	NA	NA	NA	Gregarinomorphea	3	300	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	No plast	Myzocytotic	Parasite	Resting stage	Heterotroph	"Leander B. S. : Marine gregarines: evolutionary prelude to the apicomplexan radiation?, Trends in Parasitology, 2008, 24(2), 60-67, doi: 10.1016/j.pt.2007.11.005"	"Clopton R. E. : Phylogenetic Relationships, Evolution, and Systematic Revision of the Septate Gregarines (Apicomplexa: Eugregarinorida: Septatorina), Comparative Parasitology, 2009, 76(2), 167-190, doi: 10.1654/4388.1"	"Leander B. S., Lloyd S. A. J., Marshall W., Landers S. C. : Phylogeny of Marine Gregarines (Apicomplexa) — Pterospora, Lithocystis and Lankesteria — and the Origin(s) of Coelomic Parasitism, Protist, 2006, 157(1), 45-60, doi: 10.1016/j.protis.2005.10.002"	NA	Yes
Eukaryota	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Alphamonaceae	Aphamonas	Aphamonas	5	20	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	No plast	Myzocytotic	No	Resting stage	Heterotroph	"Leander B., Kuvardina O., Aleshin V., Mylnikov A., Keeling P. : Molecular Phylogeny and Surface Morphology of Colpodella edax (Alveolata): Insights into the Phagotrophic Ancestry of Apicomplexans, The Journal of Eukaryotic Microbiology, 2003, 50(5), 334-340, doi: 10.1111/j.1550-7408.2003.tb00145.x"	NA	NA	NA	Yes
Eukaryota	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Colpodellaceae	Colpodella	Colpodella	5	22	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	No plast	Myzocytotic	No	Resting stage	Heterotroph	"Simpson A. G. B. , Patterson D. J. : Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Systematic Parasitology, 1996, 33(3), 187-198, doi: 10.1007/bf01531200"	NA	NA	NA	Yes
Eukaryota	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Colpodellaceae	NA	Colpodellaceae	5	22	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	No plast	Myzocytotic	No	Resting stage	Heterotroph	"Leander B., Kuvardina O., Aleshin V., Mylnikov A., Keeling P. : Molecular Phylogeny and Surface Morphology of Colpodella edax (Alveolata): Insights into the Phagotrophic Ancestry of Apicomplexans, The Journal of Eukaryotic Microbiology, 2003, 50(5), 334-340, doi: 10.1111/j.1550-7408.2003.tb00145.x"	NA	NA	NA	Yes
