Domain,Superphylum,Phylum,Class,Order,Family,Genus,Last,Size.min,Size.max,Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Plast.origin,Ingestion.mode,Symbiontic,X,Resting.stage,Validation,Validation.I.O,Suspected.trophism,Source.1,Source.2,Source.3,Source.4,IN.OUT
Eukaryota,Alveolata,Alveolata_X,Alveolata_XX,Alveolata_XXX,Alveolata_XXXX,Alveolata_XXXXX,Alveolata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,OK,NA,NA,,,,Yes
Eukaryota,Alveolata,Apicomplexa,Apicomplexa_X,Apicomplexa_XX,Apicomplexa_XXX,Apicomplexa_XXXX,Apicomplexa,NA,NA,Naked,Elongated,0,Bilateral,Heteropolar,None,NA,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Cavalier-Smith, T. and Chao, E. E.: Protalveolate phylogeny and systematics and the origins of Sporozoa and dinoflagellates (phylum Myzozoa nom. nov.), Eur. J. Protistol., 40(3), 185_212, doi:10.1016/j.ejop.2004.01.002, 2004.",,,,Yes
Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Adeleida,Adeleidae,Adelina,Adelina,8.5,45,Naked,Elongated,0,Bilateral,Heteropolar,None,Gliding,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,https://doi.org/10.1016/j.protis.2006.02.005,https://doi.org/10.1006/jipa.2000.4999,https://doi.org/10.1007/s11686-021-00363-x,,Yes
Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,NA,Eimeriidae,5.6,44,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Molnar, K. and Fernando, C. H.: Some new Eimeria (Protozoa, Coccidia) from freshwater fishes in Ontario, Canada, Can. J. Zool., 52, 413_419, 1973.","Kvicerov_, J., Pakandl, M. and Hypsa, V.: Phylogenetic relationships among Eimeria spp. (Apicomplexa, Eimeriidae) infecting rabbits: evolutionary significance of biological and morphological features., Parasitology, 135, 443_452, doi:10.1017/S0031182007004106, 2008.","ALVAREZ-PELLITERO, M.-P. and GONZALEZ-LANZA, M.-C.: Eimeria spp. from cyprinid fish of the Duero basin (north-west Spain), J. Fish Dis., 9(4), 325_336, doi:10.1111/j.1365-2761.1986.tb01022.x, 1986.",,Yes
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Gregarinidae,Amoebogregarina,Amoebogregarina,200,800,Naked,Elongated,0,Bilateral,Heteropolar,None,Gliding,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,https://doi.org/10.1111/jeu.12748,,,,Yes
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Gregarinidae,Leidyana1,Leidyana1,96,332,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,https://doi.org/10.2307/3226836,,,,Yes
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,NA,NA,NA,Gregarinomorphea,3,300,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Leander, B. S.: Marine gregarines: evolutionary prelude to the apicomplexan radiation?, Trends Parasitol., 24(2), 60_67, doi:10.1016/j.pt.2007.11.005, 2008.","Clopton, R. E. R.: Phylogenetic Relationships, Evolution, and Systematic Revision of the Septate Gregarines (Apicomplexa_: Eugregarinorida_: Septatorina), Comp. Parasitol., 76(2), 167_190, doi:10.1654/4388.1, 2009.","Leander, B. S., Lloyd, S. A. J., Marshall, W. and Landers, S. C.: Phylogeny of marine gregarines (apicomplexa) - Pterospora, Lithocystis and Lankesteria - And the origin(s) of coelomic parasitism, Protist, 157(1), 45_60, doi:10.1016/j.protis.2005.10.002, 2006.",,Yes
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Neogregarinorida,Actinocephalidae,Ascogregarina,Ascogregarina,61,274,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Lien, S.-M. and Levine, N. D.: Three New Species of Ascocystis (Apicomplexa, Lecudinidae) from Mosquitoes, J. Protozool., 27(2), 147_151, 1980.","Roychoudhury, S., Isawa, H., Hoshino, K., Sasaki, T., Saito, N., Sawabe, K. and Kobayashi, M.: Comparison of the morphology of oocysts and the phylogenetic analysis of four Ascogregarina species (Eugregarinidae: Lecudinidae) as inferred from small subunit ribosomal DNA sequences, Parasitol. Int., 56(2), 113_118, doi:10.1016/j.parint.2006.12.006, 2007.",,,Yes
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Neogregarinorida,Actinocephalidae,NA,Actinocephalidae,NA,NA,Naked,Elongated,0,Bilateral,Heteropolar,None,Attached,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Lien, S.-M. and Levine, N. D.: Three New Species of Ascocystis (Apicomplexa, Lecudinidae) from Mosquitoes, J. Protozool., 27(2), 147_151, 1980.","Roychoudhury, S., Isawa, H., Hoshino, K., Sasaki, T., Saito, N., Sawabe, K. and Kobayashi, M.: Comparison of the morphology of oocysts and the phylogenetic analysis of four Ascogregarina species (Eugregarinidae: Lecudinidae) as inferred from small subunit ribosomal DNA sequences, Parasitol. Int., 56(2), 113_118, doi:10.1016/j.parint.2006.12.006, 2007.",,,Yes
Eukaryota,Alveolata,Apicomplexa,NA,NA,NA,NA,Apicomplexa,NA,NA,Naked,Elongated,0,Bilateral,Heteropolar,None,NA,0,None,Myzocytotic,Parasite,NA,1,1,OK,Parasite,"Cavalier-Smith, T. and Chao, E. E.: Protalveolate phylogeny and systematics and the origins of Sporozoa and dinoflagellates (phylum Myzozoa nom. nov.), Eur. J. Protistol., 40(3), 185_212, doi:10.1016/j.ejop.2004.01.002, 2004.",,,,Yes
